time	V(ph1)	I(L)
Step Information: Freq=60K  (Run: 1/3)
4.300127286104016e-005	0.000000e+000	1.148575e+001
4.316793952770584e-005	0.000000e+000	1.209186e+001
4.333460619437152e-005	0.000000e+000	1.248045e+001
4.350127286103719e-005	0.000000e+000	1.265473e+001
4.366793952770287e-005	0.000000e+000	1.262128e+001
4.383460619436855e-005	0.000000e+000	1.238974e+001
4.400127286103422e-005	0.000000e+000	1.197255e+001
4.416793952769990e-005	0.000000e+000	1.138464e+001
4.433460619436558e-005	0.000000e+000	1.064302e+001
4.450127286103126e-005	0.000000e+000	9.766480e+000
4.466793952769693e-005	0.000000e+000	8.775158e+000
4.483460619436261e-005	0.000000e+000	7.690180e+000
4.500127286102829e-005	0.000000e+000	6.533266e+000
4.516793952769396e-005	0.000000e+000	5.326350e+000
4.550127286102532e-005	0.000000e+000	2.849158e+000
4.566793952769099e-005	0.000000e+000	1.620635e+000
4.583460619435667e-005	0.000000e+000	4.250010e-001
4.600127286102235e-005	0.000000e+000	-7.197772e-001
4.616793952768802e-005	0.000000e+000	-1.797345e+000
4.633460619435370e-005	0.000000e+000	-2.793157e+000
4.650127286101938e-005	0.000000e+000	-3.694630e+000
4.666793952768505e-005	0.000000e+000	-4.491268e+000
4.683460619435073e-005	0.000000e+000	-5.174733e+000
4.700127286101641e-005	0.000000e+000	-5.738893e+000
4.716793952768209e-005	0.000000e+000	-6.179820e+000
4.733460619434776e-005	0.000000e+000	-6.495759e+000
4.750127286101344e-005	0.000000e+000	-6.687060e+000
4.766793952767912e-005	0.000000e+000	-6.756083e+000
4.783460619434479e-005	0.000000e+000	-6.707070e+000
4.800127286101047e-005	0.000000e+000	-6.545990e+000
4.816793952767615e-005	0.000000e+000	-6.280371e+000
4.833460619434182e-005	0.000000e+000	-5.919111e+000
4.850127286100750e-005	0.000000e+000	-5.472266e+000
4.866793952767318e-005	0.000000e+000	-4.950843e+000
4.883460619433885e-005	0.000000e+000	-4.366577e+000
4.900127286100453e-005	0.000000e+000	-3.731708e+000
4.916793952767021e-005	0.000000e+000	-3.058761e+000
4.933460619433588e-005	0.000000e+000	-2.360331e+000
4.966793952766724e-005	0.000000e+000	-9.365107e-001
4.983974186103732e-005	0.000000e+000	-2.079507e-001
4.987685119464333e-005	0.000000e+000	-5.388268e-002
4.992969886169832e-005	0.000000e+000	1.638537e-001
4.999734933330835e-005	0.000000e+000	4.382211e-001
4.999983433333008e-005	0.000000e+000	4.482027e-001
4.999983443332995e-005	0.000000e+000	4.482031e-001
4.999983463332969e-005	0.000000e+000	4.481018e-001
4.999983503332917e-005	0.000000e+000	4.476807e-001
4.999983533332877e-005	0.000000e+000	4.474414e-001
4.999999999999796e-005	0.000000e+000	3.640907e-001
5.000000009999783e-005	0.000000e+000	3.640401e-001
5.000000029999757e-005	1.666667e-001	3.639857e-001
5.000000069999705e-005	7.857143e-001	3.639773e-001
5.000000099999666e-005	1.000000e+000	3.639358e-001
5.000000107999517e-005	1.000000e+000	3.639141e-001
5.000000123999565e-005	1.000000e+000	3.639203e-001
5.000000155999662e-005	1.000000e+000	3.640196e-001
5.000000199999535e-005	1.000000e+000	3.640759e-001
5.000016666666454e-005	1.000000e+000	3.617014e-001
5.000016676666441e-005	1.000000e+000	3.616999e-001
5.000016696666415e-005	1.000000e+000	3.616974e-001
5.000016736666363e-005	1.000000e+000	3.616933e-001
5.000016766666324e-005	1.000000e+000	3.616899e-001
5.002113907929401e-005	1.000000e+000	1.013700e-001
5.004211057192676e-005	1.000000e+000	-1.572079e-001
5.008405355718879e-005	1.000000e+000	-6.686608e-001
5.016793952771284e-005	1.000000e+000	-1.665722e+000
5.033460619437852e-005	1.000000e+000	-3.561818e+000
5.050127286104419e-005	1.000000e+000	-5.334603e+000
5.066793952770987e-005	1.000000e+000	-6.948407e+000
5.083460619437555e-005	1.000000e+000	-8.384003e+000
5.100127286104123e-005	1.000000e+000	-9.625896e+000
5.116793952770690e-005	1.000000e+000	-1.066242e+001
5.133460619437258e-005	1.000000e+000	-1.148575e+001
5.150127286103826e-005	1.000000e+000	-1.209186e+001
5.166793952770393e-005	1.000000e+000	-1.248045e+001
5.183460619436961e-005	1.000000e+000	-1.265473e+001
5.200127286103529e-005	1.000000e+000	-1.262128e+001
5.216793952770096e-005	1.000000e+000	-1.238974e+001
5.233460619436664e-005	1.000000e+000	-1.197255e+001
5.250127286103232e-005	1.000000e+000	-1.138464e+001
5.266793952769799e-005	1.000000e+000	-1.064302e+001
5.283460619436367e-005	1.000000e+000	-9.766480e+000
5.300127286102935e-005	1.000000e+000	-8.775158e+000
5.316793952769502e-005	1.000000e+000	-7.690180e+000
5.333460619436070e-005	1.000000e+000	-6.533266e+000
5.350127286102638e-005	1.000000e+000	-5.326350e+000
5.383460619435773e-005	1.000000e+000	-2.849158e+000
5.400127286102341e-005	1.000000e+000	-1.620635e+000
5.416793952768909e-005	1.000000e+000	-4.250010e-001
5.433460619435476e-005	1.000000e+000	7.197772e-001
5.450127286102044e-005	1.000000e+000	1.797345e+000
5.466793952768612e-005	1.000000e+000	2.793157e+000
5.483460619435179e-005	1.000000e+000	3.694630e+000
5.500127286101747e-005	1.000000e+000	4.491268e+000
5.516793952768315e-005	1.000000e+000	5.174733e+000
5.533460619434882e-005	1.000000e+000	5.738893e+000
5.550127286101450e-005	1.000000e+000	6.179820e+000
5.566793952768018e-005	1.000000e+000	6.495759e+000
5.583460619434585e-005	1.000000e+000	6.687060e+000
5.600127286101153e-005	1.000000e+000	6.756083e+000
5.616793952767721e-005	1.000000e+000	6.707070e+000
5.633460619434288e-005	1.000000e+000	6.545990e+000
5.650127286100856e-005	1.000000e+000	6.280371e+000
5.666793952767424e-005	1.000000e+000	5.919111e+000
5.683460619433992e-005	1.000000e+000	5.472266e+000
5.700127286100559e-005	1.000000e+000	4.950843e+000
5.716793952767127e-005	1.000000e+000	4.366577e+000
5.733460619433695e-005	1.000000e+000	3.731708e+000
5.750127286100262e-005	1.000000e+000	3.058761e+000
5.766793952766830e-005	1.000000e+000	2.360331e+000
5.800127286099965e-005	1.000000e+000	9.365107e-001
5.817307519436973e-005	1.000000e+000	2.079507e-001
5.821018452797575e-005	1.000000e+000	5.388268e-002
5.826303219503073e-005	1.000000e+000	-1.638537e-001
5.833316766666249e-005	1.000000e+000	-4.482027e-001
5.833316776666236e-005	1.000000e+000	-4.482031e-001
5.833316796666210e-005	1.000000e+000	-4.481018e-001
5.833316836666158e-005	1.000000e+000	-4.476807e-001
5.833316866666466e-005	1.000000e+000	-4.474414e-001
5.833333333333038e-005	1.000000e+000	-3.640907e-001
5.833333343333025e-005	1.000000e+000	-3.640401e-001
5.833333363332999e-005	1.000000e+000	-3.639857e-001
5.833333403332947e-005	1.000000e+000	-3.639773e-001
5.833333433333254e-005	1.000000e+000	-3.639358e-001
5.833333441333105e-005	1.000000e+000	-3.639141e-001
5.833333457333154e-005	8.333333e-001	-3.639203e-001
5.833333489333251e-005	2.894730e-001	-3.640196e-001
5.833333533333124e-005	0.000000e+000	-3.640759e-001
5.833349999999696e-005	0.000000e+000	-3.617014e-001
5.833350009999683e-005	0.000000e+000	-3.616999e-001
5.833350029999657e-005	0.000000e+000	-3.616974e-001
5.833350069999604e-005	0.000000e+000	-3.616933e-001
5.833350099999912e-005	0.000000e+000	-3.616899e-001
5.835447248539114e-005	0.000000e+000	-1.013691e-001
5.837544405078166e-005	0.000000e+000	1.572097e-001
5.841738718156270e-005	0.000000e+000	6.686643e-001
5.850127344312478e-005	0.000000e+000	1.665729e+000
5.866794010979046e-005	0.000000e+000	3.561824e+000
5.883460677645613e-005	0.000000e+000	5.334609e+000
5.900127344312181e-005	0.000000e+000	6.948412e+000
5.916794010978749e-005	0.000000e+000	8.384007e+000
5.933460677645316e-005	0.000000e+000	9.625899e+000
5.950127344311884e-005	0.000000e+000	1.066242e+001
5.966794010978452e-005	0.000000e+000	1.148575e+001
5.983460677645019e-005	0.000000e+000	1.209186e+001
6.000127344311587e-005	0.000000e+000	1.248045e+001
6.016794010978155e-005	0.000000e+000	1.265473e+001
6.033460677644723e-005	0.000000e+000	1.262127e+001
6.050127344311290e-005	0.000000e+000	1.238974e+001
6.066794010977858e-005	0.000000e+000	1.197255e+001
6.083460677644426e-005	0.000000e+000	1.138464e+001
6.100127344310993e-005	0.000000e+000	1.064302e+001
6.116794010977561e-005	0.000000e+000	9.766477e+000
