time	V(nc1t,nc1b)	V(n001)
Step Information: Iload=0  (Run: 1/6)
1.246000190000679e-005	2.058503e+001	5.002471e+001
1.249999990000222e-005	2.059702e+001	5.002341e+001
1.249999999999862e-005	2.059702e+001	5.002341e+001
1.250000019999836e-005	2.059702e+001	5.002341e+001
1.250000059999784e-005	2.059702e+001	5.002341e+001
1.250000090000092e-005	2.059702e+001	5.002341e+001
1.305055345719036e-005	2.075442e+001	5.000750e+001
1.338388679052172e-005	2.084266e+001	4.999969e+001
1.351722012385426e-005	2.087645e+001	4.999697e+001
1.358388679052053e-005	2.089301e+001	4.999570e+001
1.385055345718561e-005	2.095707e+001	4.999120e+001
1.438388679051578e-005	2.107459e+001	4.998507e+001
1.458333423333402e-005	2.111494e+001	4.998377e+001
1.458333433333736e-005	2.111494e+001	4.998377e+001
1.458333453333710e-005	2.111494e+001	4.998377e+001
1.458333493333658e-005	2.111494e+001	4.998377e+001
1.458333523333272e-005	2.111494e+001	4.998377e+001
1.462333323333509e-005	2.112275e+001	4.998359e+001
1.462333333333843e-005	2.112275e+001	4.998359e+001
1.462333353333817e-005	2.112144e+001	4.998359e+001
1.462333393333765e-005	2.111657e+001	4.998359e+001
1.462333423333379e-005	2.111489e+001	4.998359e+001
1.530722012385577e-005	2.111489e+001	4.997561e+001
1.597388679051848e-005	2.111489e+001	4.995842e+001
1.662666756666736e-005	2.111489e+001	4.993287e+001
1.662666766666376e-005	2.111489e+001	4.993287e+001
1.662666786666350e-005	2.111250e+001	4.993287e+001
1.662666826666298e-005	2.110360e+001	4.993287e+001
1.662666856666606e-005	2.110052e+001	4.993287e+001
1.664763997929336e-005	2.109310e+001	4.993393e+001
1.666666656666843e-005	2.108641e+001	4.993488e+001
Step Information: Iload=3  (Run: 4/6)
0.000000000000000e+000	2.337727e+001	4.991222e+001
1.999997389923180e-013	2.337727e+001	4.991222e+001
5.999992169769541e-013	2.337727e+001	4.991222e+001
